            TRNSYS - the TRaNsient SYstem Simulation program

   The Solar Energy Lab at the University of Wisconsin - Madison, USA
Le Centre Scientifique et Technique du Batiment, Sophia Antipolis, France
           Transsolar Energietechnik GmBH, Stuttgart, Germany
        Thermal Energy System Specialists, LLC, Madison Wisconsin, USA

                           Release 18.01.0000
                           User ID  18-K1021
    Message               : Geometrical distribution factors for direct solar (GEOSURF) in zone    6 did not always sum up to unity. Normalized values were used for these timesteps!
 
*** Warning at time       :       471.000000
    Generated by Unit     :    29
    Generated by Type     :   166
    Message               : The controller was stuck during 0 percent of the time during the simulation.
 
*** End of the simulation
    Total Notices         :        30
    Total Warnings        :         1
    Total Fatal Errors    :         0
 
    Total TRNSYS Calculation Time     :             6.4800 seconds
    Calculation time inside the Types :             4.7300 seconds
 
    TRNSYS Calculation Time Breakdown by Unit Number
    Unit     2 :           0.220000 seconds
    Unit    16 :           0.010000 seconds
    Unit    17 :           0.040000 seconds
    Unit    18 :           0.010000 seconds
    Unit    19 :           0.060000 seconds
    Unit    20 :           0.010000 seconds
    Unit     8 :           0.140000 seconds
    Unit    10 :           0.190000 seconds
    Unit    23 :           3.950000 seconds
    Unit    25 :           0.000000 seconds
    Unit    26 :           0.010000 seconds
    Unit    28 :           0.030000 seconds
    Unit    29 :           0.000000 seconds
    Unit    30 :           0.060000 seconds
    Unit    33 :           0.000000 seconds
 
    TRNSYS Calculation Time Breakdown by Type Number
    Type     9 :           0.130000 seconds
    Type    15 :           0.220000 seconds
    Type    25 :           0.060000 seconds
    Type    56 :           3.950000 seconds
    Type    65 :           0.000000 seconds
    Type   150 :           0.030000 seconds
    Type   166 :           0.000000 seconds
    Type   577 :           0.000000 seconds
    Type   653 :           0.330000 seconds
    Type   700 :           0.010000 seconds
 
    TRNSYS Iterative Call Breakdown by Unit Number
    Unit     2 :               5655 calls
    Unit    16 :               5655 calls
    Unit    17 :               5655 calls
    Unit    18 :               5655 calls
    Unit    19 :               5655 calls
    Unit    20 :               5655 calls
    Unit     8 :              11839 calls
    Unit    10 :              11733 calls
    Unit    23 :               9887 calls
    Unit    25 :               2829 calls
    Unit    26 :               8479 calls
    Unit    28 :               5983 calls
    Unit    29 :               5730 calls
    Unit    30 :               2829 calls
    Unit    33 :               5655 calls
